"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"TRIM2",6.7504,5.8258,11.7582,5.8401,11.2526,6.5899,17.2049,9.1437,12.1783,14.3243,16.8397,3.8099,7.5122,7.3356,5.5815,5.9753,11.133,14.852,7.6113,5.9079,13.4427,7.8339,6.6008,13.7834,13.1118,5.5197,9.0308
"SLC2A9",0.5014,3.0513,4.4643,1.7696,3.6868,3.8739,4.0111,1.2367,5.2083,7.6137,2.9518,0.5291,0.6601,1.0326,0.6765,1.9698,3.9944,3.4239,1.5485,3.1761,3.8282,3.9284,1.0221,5.3726,3.7727,3.1772,0.9256
"FBXW7",8.5618,11.8904,21.6689,9.1212,17.9524,20.4322,29.898,11.2638,32.1608,32.1427,23.5472,7.5747,10.1859,6.6773,8.2555,9.8883,30.9443,19.4336,11.6174,11.6428,24.7433,13.0555,9.673,18.3926,26.6199,13.9284,10.1256
"NEIL3",0.116,0.5862,1.2214,0.433,0.841,1.5904,1.2899,0.7988,1.4893,2.1535,1.0329,0.0191,0.2674,0.1194,0.0412,0.4878,2.0872,1.8457,0.6249,0.4313,1.0631,0.4914,0.0861,1.0869,0.4839,0.5739,0.1941
"TBC1D19",5.839,9.748,15.2121,8.2099,14.6702,12.7885,24.2784,8.1072,21.6264,25.6118,19.1333,4.6409,8.6464,6.5688,7.6721,8.9412,18.8309,16.326,12.4814,9.8203,17.5398,12.5845,8.6104,21.3071,24.8074,8.5016,13.1015
"CLNK",0.1567,0.9201,0.6055,0.3901,1.1805,2.0605,2.7632,0.2982,1.6898,2.8819,1.2425,0.0364,0.206,0.0949,0.1769,0.7349,2.7408,2.3513,0.5013,0.3857,1.8473,1.9926,0.2054,1.191,1.0002,0.5069,0.2849
"NSD2",5.9415,7.2916,10.6367,6.6563,11.4632,9.2991,8.338,5.405,11.1075,11.0958,10.4167,5.4565,7.1998,5.2246,5.7183,7.5511,9.6158,11.8081,9.2807,9.0905,11.206,10.1485,7.2493,11.2048,9.1316,7.9611,5.8044
"SH3D19",12.0305,32.9128,44.0551,25.3576,33.6376,55.9128,125.0897,20.1499,68.3113,161.8594,34.9502,9.4232,14.4847,14.2667,11.5275,19.5292,46.959,30.5131,23.9927,26.7364,79.9555,29.8464,14.3447,53.7072,213.5024,40.7827,18.4536
"STIM2",4.9901,8.2599,12.8406,6.6311,13.3255,14.4503,19.4776,8.8214,18.2769,21.2122,17.0955,4.0756,5.9602,6.0585,6.2968,8.1503,20.8535,17.551,8.9225,9.6977,16.1487,11.1931,7.4577,14.8112,18.5969,8.5304,7.819
"NKX3-2",0.1247,0.4635,1.2975,0.3103,0.8989,0.8317,1.5127,1.1424,2.2704,3.5109,0.6083,0,0.0531,0.1198,0.0709,0.9936,1.3937,0.6388,1.0259,1.3213,2.906,0.778,0.0833,1.2126,3.121,2.1386,0.077
"MFSD10",6.9728,18.2689,23.8932,12.4802,28.3287,25.0982,14.0436,8.5086,16.8264,16.4634,11.316,9.4136,9.6953,5.7616,5.544,20.6985,23.311,17.496,11.5149,20.6357,30.4312,21.684,7.766,20.9495,15.6874,20.4938,4.2483
"GLRB",4.6838,6.8902,10.5987,4.961,9.271,5.8729,12.153,7.6101,11.5955,11.3346,14.6649,3.4144,7.1578,4.8574,5.903,5.7478,7.6808,12.5337,7.884,7.0419,6.6995,7.8895,6.5855,13.2528,9.2868,5.2603,6.1846
"BST1",0.6684,4.3661,7.7703,2.2835,5.3277,8.984,27.4087,3.9561,10.4884,14.6325,6.6004,0.4274,0.9204,0.9177,0.7825,2.729,10.04,7.0511,3.4668,4.5147,9.9891,4.9985,1.6421,6.0951,28.4802,7.9339,1.9591
"RAPGEF2",9.2872,14.6284,22.5894,12.6267,23.9352,17.8229,23.6356,13.6495,26.9996,32.0064,24.5169,7.6567,12.4918,8.6681,9.1287,12.9463,24.1046,27.8217,15.5438,15.4515,22.2307,19.2118,13.4578,26.2315,34.7055,16.8755,11.5405
"HGFAC",0.0817,0.1999,0.2531,0.1186,0.254,0.2044,0.347,0.2202,0.31,0.0948,0.2373,0.1615,0.0435,0.0421,0.1016,0.3257,0.026,0.1427,0.1501,0.133,0.0535,0.4014,0.1593,0.3105,0.0682,0.4493,0.0789
"SNX25",10.1332,11.9582,19.5084,12.2056,20.1668,16.5058,23.5944,12.1084,24.7109,24.5357,24.8099,9.4,12.6625,9.4204,9.4142,12.5241,19.0707,26.8749,15.1693,16.8494,17.4759,18.2606,13.4021,26.5127,20.6591,12.1819,11.1158
"LRP2BP",2.6095,3.0398,5.6038,3.1047,5.3369,3.6929,5.4043,3.5268,5.9946,7.8748,6.8366,1.9286,4.0877,3.1206,2.4913,3.3649,4.3068,7.1738,4.7008,3.6713,4.9207,4.8555,4.3211,7.3156,6.1435,2.5919,4.3983
"UFSP2",10.6236,17.218,24.5183,12.7843,20.5163,25.1134,32.8429,16.2837,30.2492,33.0364,32.9283,6.9731,14.0227,9.0192,11.1542,12.9144,29.5952,28.9462,14.3312,15.3442,27.2152,17.0584,12.6225,22.8022,39.8961,18.3044,13.7674
"KLF3",25.7194,28.802,32.2807,20.1937,45.8717,28.4872,54.4239,24.8178,34.3866,56.7009,47.9414,22.838,29.5982,34.12,20.8714,23.603,39.3436,58.5663,29.3746,22.003,35.1532,32.0036,28.5712,43.5272,52.9235,22.7858,26.186
"KLHL5",4.281,16.4652,36.3722,8.7573,29.9044,27.9161,39.2334,13.2204,41.5558,50.0164,36.8249,4.0039,6.1632,6.3215,5.479,14.7488,30.352,38.1499,13.3229,17.3774,24.0465,26.0172,7.5484,34.8793,43.4753,19.638,7.7734
"FAM149A",9.8654,13.6021,16.5172,12.7885,15.297,10.1296,9.3647,8.6304,15.4869,10.289,17.3676,9.985,11.5084,9.2033,8.6083,10.9405,8.8174,16.2528,11.6112,16.6994,11.8174,18.7247,11.0599,24.9354,11.7461,12.1664,11.2737
"NCAPG",0.4299,0.8186,1.8429,0.5399,2.1813,2.6229,1.9458,1.7121,1.7093,4.0458,1.8089,0.0689,0.6801,0.1755,0.1817,1.6363,3.6611,2.8011,1.4686,0.9183,2.0239,1.6518,0.1682,2.6491,1.1637,1.2012,0.4847
"UGDH",15.2663,21.2892,46.5188,16.5905,53.596,25.7971,56.1175,16.9839,33.9792,56.1696,49.0623,9.9989,34.7376,13.5354,12.3335,25.9686,37.2258,56.806,22.0445,23.2103,43.028,26.3285,17.5797,38.2172,60.5132,34.4534,22.366
"PPARGC1A",4.1192,6.4991,9.4248,6.844,7.1499,2.679,5.8409,3.2026,8.4142,5.1556,12.4966,2.4888,4.8132,3.5108,4.5117,4.7528,1.5667,8.876,5.056,7.6358,1.3911,8.5514,6.4229,16.6713,3.9176,4.678,7.053
"DDX25",0.1225,0.2746,0.9296,0.1101,0.4885,0.5675,0.5697,0.1467,0.3932,0.4581,0.7886,0.0151,0.1412,0.0526,0.1342,0.1492,2.0099,0.1961,0.15,0.28,1.9249,0.3244,0.1592,0.4499,0.5707,0.2974,0.1262
"CRYAB",2.4901,11.0387,19.212,4.3556,10.0686,12.5594,19.7179,5.1315,13.741,15.9296,10.2593,1.7126,3.2779,1.9562,2.3083,3.521,8.1207,6.3527,3.3387,6.8024,14.2712,6.0525,2.4874,10.5538,73.7597,11.2354,2.8458
"DBX1",0.0907,0,0,0.0376,0,0,0.055,0.0407,0.0529,0,0.0527,0.2241,0,0.1557,0.0645,0.0904,0.0576,0,0.0666,0.1265,0.3563,0.0524,0.101,0,0.0757,0,0.035
"HTATIP2",5.9826,17.5605,22.3887,11.4986,23.84,23.5182,25.6897,13.79,23.1641,26.5894,22.5129,6.1916,7.6736,6.3336,6.6867,27.4555,24.619,28.1968,15.0383,13.4662,27.1455,14.4575,6.3043,25.7169,26.8969,21.7972,5.8668
"CTSC",2.8559,13.472,23.2117,7.6614,22.9447,35.722,31.9945,12.4132,27.8317,54.9052,21.2289,1.8122,5.6388,3.7749,3.6749,12.3631,30.0826,22.5098,9.5031,12.6422,37.5225,13.9728,4.9554,21.2202,33.8241,26.1164,3.9643
"CCDC34",1.7981,1.8303,2.543,2.2755,3.6352,1.9186,4.0331,2.9208,2.8413,4.3564,3.4816,2.0284,2.2805,1.3466,1.7558,2.7747,3.1843,3.3842,2.6157,2.0264,2.9019,2.6239,1.861,3.3677,3.3043,2.5366,3.5499
"ZBTB16",55.3632,77.4505,43.8521,31.5179,36.3106,19.2956,52.8172,12.2369,74.09,66.4385,29.8192,80.049,7.8513,35.5204,20.9528,5.7102,5.2638,16.6803,31.5575,74.1224,30.8114,83.9102,29.8728,86.5646,61.2252,7.6623,8.8868
"ELP4",1.6061,1.893,3.3553,1.6104,3.1993,2.503,5.3426,2.6073,4.3173,4.6861,4.7861,1.1379,2.5295,1.6972,1.9924,2.124,5.2365,3.9695,2.98,2.1372,4.8836,2.5825,2.5532,4.7062,4.4196,1.6367,3.1666
"ZPR1",6.7988,11.5551,15.6521,6.5083,16.2594,14.4896,17.381,7.4415,13.9089,16.3989,15.5933,5.6863,7.3364,6.6123,5.2468,7.7386,17.1737,16.3648,8.0096,8.2875,16.4596,11.639,6.1325,13.2561,20.2846,12.8734,5.0551
"MTCH2",12.707,25.7261,54.1387,18.9612,45.5928,38.6709,44.0041,27.0122,48.7499,53.8183,50.1022,8.5786,18.9924,14.1322,15.3828,25.2041,53.0259,47.5129,24.7648,27.9372,53.7901,33.1455,18.9863,56.4233,51.6193,38.0086,18.6819
"FNBP4",21.9845,26.5004,38.8183,21.7733,42.1355,42.1176,50.7167,22.2282,48.7603,59.7703,44.993,18.5573,22.6619,20.1676,18.2121,25.2527,44.4876,48.8713,29.7662,32.0906,39.6051,34.9689,22.205,50.1425,53.2392,26.2409,22.4263
"TECTA",0.2914,0.7825,1.1085,0.5342,0.8763,0.8516,0.7402,0.2375,1.1394,1.2795,0.8504,0.4555,0.4688,0.3629,0.4769,0.4592,0.9988,0.9945,0.6375,0.6617,1.1805,1.4021,0.4756,1.0095,1.1086,0.6112,0.4241
"SC5D",5.305,6.8622,12.4039,4.4341,10.2234,8.2471,16.4841,6.5124,11.6477,17.693,12.5542,2.353,4.3336,5.3033,4.9256,4.9563,12.5899,15.2198,7.2611,6.62,12.6479,6.5327,5.1661,11.179,17.2133,4.7496,7.5388
"CRTAM",0.042,1.9335,1.3025,0.7849,1.3591,5.0727,2.6276,0.4722,7.3632,6.1162,2.7599,0.0208,0.4474,0.4474,0.6575,1.0054,3.9263,1.469,0.3707,0.7428,4.3501,1.7494,0.2342,2.1728,3.8949,3.1904,0.2599
"JHY",1.2197,2.6433,3.7051,1.9858,3.6113,3.9301,4.4878,1.6672,4.8765,7.5902,4.3652,0.9786,1.4723,1.5756,1.7899,1.8598,3.6989,4.2917,2.361,2.4936,3.3664,3.4407,2.0011,4.6941,7.0156,2.7618,1.9504
"B3GAT1",0.1007,0.1782,0.2138,0.1591,0.3397,0.533,0.2501,0.0904,0.7108,0.3709,0.2339,0.0569,0.102,0.2468,0.1431,0.1879,1.1693,0.24,0.0916,0.2273,1.0045,0.2715,0.0587,0.2914,0.304,0.1423,0.0593
"HSPA8",161.0545,361.3055,504.5116,241.195,609.7398,421.977,650.0109,393.5267,613.2429,539.3819,580.2843,151.5075,344.1488,124.5448,219.6552,396.7751,597.6943,454.9316,336.2163,311.8653,696.0247,341.5097,162.8182,352.4826,399.6113,523.129,186.2546
"P2RX3",0.2033,0.087,0.3464,0.0527,0.158,0.0848,0.1234,0.1256,0.3412,0.3146,0.0295,0.0126,0.2434,0.1221,0.0542,0.1604,0.0969,0.0888,0.0374,0.1063,0.9486,0.1469,0.0142,0.0966,0.1061,0.014,0.0295
"VWA5A",9.8813,20.5747,35.8205,15.846,34.5409,32.2826,33.5536,16.8877,25.3668,27.5265,36.9184,8.6109,10.5145,8.9902,9.686,16.9966,52.1159,39.966,16.8376,18.5147,54.8009,22.2266,9.7333,30.0093,44.5565,24.8095,13.6804
"DNAJC4",8.1061,9.4427,11.4612,9.0064,11.1,13.5425,10.2015,8.5624,9.2059,9.9048,9.3708,10.1533,8.0919,5.744,9.0423,9.7957,11.522,8.3184,8.905,10.0554,14.0582,12.7312,8.5143,8.7827,8.7072,11.4075,6.2933
"SIAE",4.6499,7.1073,8.9836,5.8767,7.9993,5.2556,7.9518,5.5115,6.4133,7.2279,7.6374,4.2236,6.8024,3.891,4.8414,6.0058,8.0597,9.4337,6.1368,6.4753,7.1486,7.2836,4.977,6.1771,8.3544,6.271,5.6011
"SNX15",0.4497,0.7334,1.0574,0.6889,1.0322,1.0386,0.6577,0.4248,0.8751,0.8209,0.6833,0.4901,0.589,0.3642,0.2459,0.5668,0.8204,0.8461,0.5254,0.4503,1.4498,0.8263,0.5651,0.8238,0.9624,0.8497,0.6771
"LPXN",6.9403,16.105,33.38,10.6264,29.4034,50.4914,38.5623,13.6805,47.549,49.2482,33.1274,6.3178,8.9641,6.0498,7.7407,22.8069,64.6219,38.4177,11.8434,18.0215,34.8019,28.8924,8.1367,30.9509,35.8566,28.6959,12.0814
"DTX4",5.3318,13.0547,17.3138,8.8113,19.4717,16.1991,11.6437,12.7266,19.6554,9.9851,14.9316,3.7294,6.9778,4.9406,3.8148,20.9701,12.4688,18.7704,12.6091,15.4339,16.2127,18.7095,8.7467,23.0069,12.8885,13.8641,6.6351
"ATG2A",5.4934,7.83,8.4906,5.6257,11.1735,8.6347,5.8545,3.3785,5.6998,8.0558,6.0479,7.1846,5.7536,3.7664,4.1705,6.906,10.7884,10.5338,6.1604,6.926,12.2132,9.7977,4.821,7.8465,8.2447,6.6419,3.494
"EHD1",3.3392,7.2966,10.669,5.4158,15.5671,16.9294,9.9466,4.3642,8.2145,8.7845,7.4263,2.6481,3.4179,2.5544,2.4414,8.9881,24.3328,10.5458,5.2461,5.6329,15.1705,7.9575,2.993,6.356,14.9155,11.2698,2.0637
"OSBP",29.4033,33.8788,36.4058,26.3939,40.8731,29.9556,38.1076,26.9496,33.2745,44.0714,47.7395,29.495,39.8409,26.4967,28.5679,32.312,37.8026,46.2275,39.0093,29.3117,40.2208,47.1363,37.096,39.5915,37.2751,34.8617,30.2671
"UNC93B1",4.3165,24.1087,25.2425,13.4269,25.9793,33.9163,17.8202,10.7753,24.6016,26.6447,13.6935,4.8958,6.0168,5.3362,4.7778,20.091,31.406,18.4933,14.6298,18.0528,30.2048,25.4594,6.4042,19.2456,17.4663,25.3629,3.3716
"PUS3",5.2959,10.6921,15.3114,7.0908,15.2924,12.0578,19.1428,10.8751,14.7863,16.0003,18.523,4.6249,9.1238,5.8864,6.2541,9.2688,17.3011,18.7957,8.4005,9.2488,15.0088,10.5251,8.4887,14.139,15.2465,12.0791,6.4075
"DCPS",2.2088,3.8187,6.2621,2.8409,5.3497,6.0249,4.5972,3.6092,5.1324,4.9225,5.3316,2.1124,2.3047,1.9286,2.378,3.637,6.2027,6.8095,3.1095,3.8349,7.0493,5.5931,3.3757,6.7685,5.7627,4.6851,2.7722
"KMT5B",12.9646,19.9049,26.7926,15.0226,26.3782,21.3516,32.6592,15.3932,31.414,33.2186,30.6393,10.4919,15.3924,12.3764,13.5704,16.8501,27.3549,31.9056,18.5637,17.9448,27.8479,22.8793,19.4974,36.0669,30.46,15.7136,15.4444
"FOXRED1",3.4448,4.9777,6.0942,4.1385,7.055,7.4172,4.8566,3.1396,7.3924,7.5801,5.633,3.995,4.2271,2.2624,3.0855,4.7349,6.6912,6.0291,4.0675,3.5269,8.1361,5.3967,2.6946,5.7501,5.2179,6.3392,3.0843
"PPP6R3",24.5902,35.0207,54.2413,27.7734,53.2656,50.2136,74.2184,32.5957,64.985,75.2343,62.5569,20.4092,28.0207,23.0271,22.8491,32.0317,67.8319,63.4727,36.9249,38.835,56.6276,41.7445,30.1748,66.2851,77.0599,32.2097,29.0193
"NRXN2",0.1808,1.3687,1.8453,0.9885,1.8514,1.928,0.7745,0.6977,1.3164,3.4158,0.9763,0.3627,0.4358,0.2812,0.31,1.399,1.7029,1.7963,0.641,1.2462,2.6679,1.7028,0.391,1.4713,2.681,1.6436,0.3287
"MS4A6A",3.6471,33.5049,66.9066,22.4248,42.2088,79.8095,83.1066,21.7654,112.3626,145.3402,63.8395,2.653,6.0231,4.5135,3.7608,27.3066,73.605,49.5289,15.9079,38.0608,70.3462,60.5974,8.1024,85.6745,53.2763,56.2355,7.8741
"MS4A4A",2.1794,22.5211,33.2589,15.4973,24.6463,50.2535,71.2194,10.2024,78.4751,84.3158,34.4043,1.5305,3.9059,2.0737,1.5899,10.4763,40.8775,24.6015,9.0187,21.8282,70.3296,25.5425,4.7696,45.8513,48.1191,47.724,4.1945
"ST3GAL4",1.5776,6.6363,13.941,2.8295,8.4322,12.7625,10.8326,6.2889,10.8963,13.186,6.2118,1.6993,1.2163,1.2841,1.155,6.4191,12.5897,7.4808,2.9432,7.4746,14.8707,7.2605,1.6519,6.9635,14.7424,8.2588,1.9632
"CPT1A",18.7967,25.4436,30.5868,21.9106,30.9543,32.8234,41.9355,15.2007,28.6087,39.1678,30.5804,16.6544,29.1857,19.5417,11.8866,22.0783,40.5846,17.378,28.48,22.7603,42.3633,35.7812,25.5269,47.3793,46.7805,37.4764,12.0315
"CCND1",40.9901,44.1793,54.4985,54.6997,43.0899,59.7975,78.9797,39.6528,38.021,47.4497,35.7055,25.5348,41.3261,30.3737,30.8518,35.8307,49.1454,21.9457,50.6597,36.0988,40.6523,45.9251,32.5436,38.1886,70.6268,40.3931,27.1701
"CCDC86",3.6065,3.3307,4.4269,1.9995,4.4625,3.1107,3.0061,1.7109,3.0299,3.8075,2.9956,5.28,2.7437,2.5453,1.8807,1.7574,5.0101,3.2971,2.1299,3.8233,8.0778,3.9539,2.5902,3.9445,3.4879,2.9096,1.1587
"PRPF19",19.1211,31.1868,43.8708,27.039,46.5824,44.4108,37.4141,15.6531,38.6544,41.2938,35.7089,24.4474,23.9806,16.4385,18.721,27.9006,51.4286,37.6818,26.484,33.6372,64.2081,39.4932,22.6718,37.2432,43.0572,42.2455,18.3045
"TMEM109",20.1619,52.5785,82.2942,34.8779,67.8878,82.524,76.8177,33.9304,61.1685,71.3317,48.5004,24.3809,20.7248,20.156,16.1673,39.1957,94.1217,56.3202,28.8164,44.8189,105.376,56.6256,22.7491,60.5654,119.5181,65.4429,23.944
"CCKBR",4.4011,4.6046,1.1609,6.309,1.6523,0.3634,0.4759,0.4502,0.3561,0.1686,3.8222,17.313,18.2923,20.1181,2.5554,0.9986,0.8581,5.3791,1.0887,6.5027,1.0557,8.0328,12.6671,1.6888,0.2909,0.6709,0.5723
"HPX",0.2172,0.7892,1.5184,0.4247,0.9256,1.1038,0.8658,0.2926,1.2133,0.9361,0.901,0.2453,0.3961,0.2769,0.5182,0.5151,0.7685,0.849,0.6839,0.8509,1.5235,1.0398,0.4492,1.6502,1.0874,0.6994,0.683
"TRIM3",2.2192,4.8322,7.5048,3.2118,6.2955,5.2783,5.3856,2.5783,5.4543,6.6229,4.3421,1.6656,2.5922,1.5178,1.5952,3.3138,5.8613,4.4011,3.2245,4.6774,9.713,4.7246,2.1557,5.9848,7.6724,4.8165,1.7982
"CHORDC1",5.5058,6.6033,9.8025,4.6229,11.6769,8.8361,25.4431,6.8293,24.9055,21.6575,15.776,2.5377,8.5045,5.0514,4.8514,5.7064,13.9768,14.8741,8.5909,7.3084,12.64,7.3369,7.4151,13.8979,17.6592,6.1718,7.7072
"FOLR1",3.1661,22.3726,16.3461,10.9747,8.9217,12.6738,6.83,3.603,8.0497,11.6498,4.2096,2.6772,2.3209,2.56,5.1012,4.8603,4.6481,4.5884,2.1713,7.8828,0.9214,9.5953,4.114,12.4043,4.756,5.1452,5.1093
"ANAPC15",0.3516,1.0513,1.8155,0.7132,1.5058,1.6075,1.5646,0.8424,1.0719,1.5418,1.4979,0.6565,0.7276,0.5499,0.6388,0.9083,2.1345,1.7518,1.1484,1.2351,2.2258,1.445,0.4569,1.4252,1.7934,1.2675,0.815
"FOLR3",0.0403,1.1842,0.25,0.1004,0.2006,1.8393,0.0979,0.145,0,0.1249,0.0469,0,0,0,0,0.0536,0.4101,0.8457,0,0.075,0.1057,0.1399,0.2247,0.0613,0.1347,0.0887,0
"PANX1",6.4576,16.5007,32.5199,10.9615,34.1495,24.5715,40.5456,14.7434,37.4645,63.1972,29.7108,4.8794,9.9184,7.3074,7.8608,14.9011,37.5834,38.843,13.6111,21.3542,24.9055,23.3944,9.0398,30.7346,35.1693,17.2865,6.1177
"ARHGEF17",3.6844,10.2701,16.3828,5.5863,13.0634,14.7585,13.1919,4.7126,16.2113,17.5963,9.1412,4.1239,3.9567,4.0143,4.572,7.7603,12.1817,8.7069,7.7756,8.7884,22.6238,14.6905,4.6346,11.2512,26.6351,10.8752,5.6883
"APOA5",0.279,0.2183,0,0.0694,0.0347,0,0.0677,0.0251,0.0326,0,0.0648,0.193,0.0594,0.1341,0.0793,0,0,0.0325,0.041,0.0259,0,0,0,0,0,0,0.0431
"APOA4",0.1149,0,1.4233,1.1119,26.322,1.9584,0,0,0,0.237,1.4234,0,4.9297,0,0,0.6612,2.5781,0.1338,0,1.3884,0.2507,1.5045,0,0.0582,0.0639,0,0
"APOC3",0,0,0.246,0.3295,10.2023,0.7359,0,0,0,0.2048,0.3844,0,1.7606,0,0,0.0879,0.1682,0,0,0.7384,0.1733,0.6119,0,0,0.1105,0,0
"CEP164",15.8753,11.298,11.7863,11.9071,14.1219,10.1543,9.0993,11.7945,11.0081,10.7526,11.7308,23.4381,14.1927,12.7756,26.9119,11.2758,10.8696,10.6806,14.5052,14.0052,14.6364,15.1932,13.5371,10.9855,10.5405,11.296,18.8098
"RNF141",7.2984,9.3098,14.3052,7.4469,13.9051,14.4459,25.8786,12.2344,17.9655,22.176,19.6005,4.8871,8.2946,8.9042,8.5287,7.9744,17.7033,19.2702,10.3978,8.3452,15.2044,11.9706,10.213,20.4238,31.8594,9.6486,12.9336
"CEP126",1.4355,5.5173,9.1574,2.0003,6.7883,6.6215,10.1264,1.734,5.9258,11.4047,12.4561,0.9843,1.469,1.5891,1.4012,2.7647,15.8466,2.9675,2.2408,2.6183,21.885,4.5724,2.6392,6.0129,13.3097,2.3566,2.5257
"EIF4G2",78.4319,117.0952,189.2099,87.1538,204.2183,144.5519,218.2621,115.4278,192.7335,263.6454,220.3039,66.6268,95.8825,75.3671,81.8093,106.7102,223.8621,214.2608,125.8371,117.6684,212.5428,169.1205,82.0835,178.6365,216.7588,125.8283,84.6571
"IL10RA",1.2407,14.7516,27.6211,11.9022,26.4385,50.364,34.9157,6.6068,31.3303,46.5874,22.5856,1.5225,4.2352,2.3544,2.7697,12.8018,52.6028,32.1209,5.0297,12.2944,29.3213,23.0083,4.4329,23.5614,31.1332,28.8984,3.5648
"GALNT18",3.9453,14.711,18.2454,8.2093,16.4713,15.6478,18.3203,5.1911,13.8723,15.5035,14.9777,6.3248,4.2643,3.0604,3.7981,6.1697,11.9388,10.7084,6.848,12.6944,11.5135,16.5157,3.8751,20.3024,21.6216,11.1027,2.4239
"BIRC2",24.7556,34.6416,51.0466,25.4993,54.5679,42.1327,85.3079,40.7744,72.0062,89.2329,74.9905,16.999,37.0535,26.4823,30.5026,36.7827,56.5074,80.713,45.6767,31.429,47.7355,45.0283,33.233,68.507,72.4532,36.4892,34.1018
"UBE4A",19.0657,26.8347,35.856,19.2446,36.4014,32.3962,42.4578,25.2651,39.4458,46.4539,41.8466,19.242,25.4759,16.0178,19.7455,22.7391,40.6137,40.3672,26.7572,25.4768,38.1109,32.6609,23.2998,40.9803,46.6226,30.142,20.1338
"DDX6",24.0135,34.1585,55.4848,25.7785,52.7239,57.1946,87.6854,27.7101,59.8214,80.7915,70.3934,18.3622,28.2818,26.6935,23.5273,31.8779,71.3791,66.9855,36.7777,32.9494,67.6978,48.3801,36.2899,60.2311,83.7856,38.1872,33.2536
"UPK2",0,0.2942,0.1863,0.0416,0.3115,0.2786,0.3648,0,0.2925,0.2326,0.0582,0.099,0,0.2408,0,0.233,0.191,0.5252,0.2209,0.5591,0.2625,0.6949,0.1674,0.1523,0.0836,0.2755,0.2323
"CBL",3.5183,9.0009,17.4795,6.245,17.585,16.7386,19.2641,7.1724,21.1321,23.9645,15.4899,2.2469,4.1222,3.6857,3.3242,10.4747,21.2622,18.8629,9.6628,10.2427,17.9269,13.9042,5.487,15.4137,23.096,12.8809,5.5771
"NECTIN1",3.3215,2.1853,4.6602,2.8216,6.1625,3.1325,1.871,3.3207,2.9945,3.3895,4.0765,4.2583,4.2474,3.3833,3.0677,3.7329,5.4189,4.5225,4.2142,4.274,6.7843,5.5875,4.9111,4.2707,2.3811,2.7652,2.9111
"HIPK3",33.4245,65.7973,106.7745,45.8655,98.7483,92.1051,163.6411,45.7838,118.5471,179.5963,119.6686,23.864,37.879,34.0195,35.8071,43.5229,120.5303,119.5935,48.0457,61.2758,104.9025,67.7247,49.5131,108.6365,218.4189,56.451,38.9591
"KIAA1549L",0.2629,2.1066,5.3253,1.3779,5.6541,1.7167,1.7012,1.5032,3.9214,5.6369,3.0588,0.2722,0.6438,0.5128,0.35,2.0232,4.3257,3.1585,3.9858,2.9058,8.694,3.4915,0.711,2.8538,1.9361,2.2438,0.3159
"FBXO3",8.0776,10.5863,17.2252,8.8459,15.8476,14.2802,22.0744,10.8306,20.3345,19.8177,22.2332,5.2417,8.8794,7.4218,7.588,9.2278,17.5464,18.5975,11.2324,11.6127,15.5271,13.1066,9.9491,20.3926,21.594,10.1319,10.8689
"PDHX",10.4619,14.7541,23.0934,12.3105,20.6664,18.552,29.8908,13.2348,21.6172,25.2799,25.5398,7.9905,16.0783,10.5187,9.0292,11.9873,26.6596,24.6489,13.5947,13.4435,21.8702,16.8683,13.254,31.2258,33.5081,14.2519,9.2401
"SLC1A2",7.2897,2.5764,4.3892,7.1406,2.4997,1.5409,3.8398,11.6623,2.4225,0.4281,16.6509,11.648,20.0979,7.6059,13.3956,7.6953,0.8285,10.7561,9.0865,5.1356,0.3914,7.2631,22.1119,5.718,0.6597,6.4653,14.9119
"COMMD9",2.9562,8.8861,14.546,6.8833,14.6047,11.0678,10.6371,5.3808,13.1865,12.4678,13.5888,2.8288,4.9458,3.4137,3.4192,6.9179,14.7515,13.2134,6.2153,11.6378,14.1432,13.3505,5.2718,16.115,11.8932,11.1338,4.9372
"SLC15A3",0.7182,5.105,10.2391,2.9866,9.0467,13.6912,7.5703,3.3971,10.9706,14.5684,6.9765,0.5901,1.5284,0.8851,0.8119,6.1498,11.059,11.5177,4.1073,8.5762,13.0544,10.6706,1.0119,8.009,10.6295,11.6184,1.4305
"CD5",2.2334,3.0311,4.9098,1.9128,6.6726,11.2754,8.8953,2.0551,7.7802,10.6471,4.3733,1.1571,1.3416,1.4343,1.7924,4.0078,17.162,8.3481,2.8587,2.6962,10.308,5.225,1.9258,4.4073,6.283,6.6947,2.1428
"ACCS",7.2222,10.7739,16.3804,12.5285,22.9915,15.911,11.2325,6.5578,19.7788,25.0232,9.746,6.9855,12.1278,6.1828,7.0048,10.4781,13.5611,11.1954,9.8485,13.1969,17.1614,16.0031,11.3193,15.4612,14.404,9.6175,9.7584
"SCGB2A2",0,0,0,0,0,0,0.0453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
