"","C3N-02261","C3N-00958","C3N-01653","C3N-02818","C3N-00243","C3L-01279","C3N-03021","C3N-01650","C3L-02212","C3N-02440","C3N-01803","C3N-01652","C3L-01865","C3N-01903","C3L-01962","C3L-01955"
"DGKD",8.2381,8.3174,7.8654,13.3276,5.1317,9.1078,7.1756,13.4216,9.6606,8.1108,12.4124,7.7484,5.5888,7.0666,9.3432,8.3623
"CTTNBP2",21.6689,40.7878,23.1607,39.0533,14.1723,16.5059,19.8063,26.1134,32.5409,41.9233,34.0901,27.2762,23.8,19.5277,39.5559,54.6917
"ACTL6B",0,0,0,0,0,0,0,0,0,0.1329,0,0.0338,0,0,0,0
"RARB",29.4535,25.1373,68.7866,28.921,20.3207,30.3212,26.723,37.168,27.9575,21.8065,29.5247,23.6556,22.9756,19.9143,19.6754,26.0967
"TOP2B",121.2435,102.5427,129.021,116.746,122.2861,118.4339,112.7956,186.6948,121.9763,116.6867,152.3184,103.9452,119.5951,100.2188,110.4491,103.1701
"TM9SF3",119.1009,113.4328,140.6936,112.6126,113.3869,100.4035,114.4961,163.4945,110.6401,120.0205,112.6731,111.8238,122.6153,97.5382,94.8454,97.3788
"NFKB2",15.0465,15.7265,21.0412,29.3393,10.7943,18.6625,17.6569,44.0302,16.3964,20.8304,31.0649,23.3733,10.6826,12.7226,19.1845,12.4603
"UBE2T",2.6441,1.5763,3.182,2.1441,2.6349,2.9204,1.2168,3.5911,1.4407,1.5927,3.3415,2.1389,2.2954,1.6886,2.4223,1.2079
"PPP1R12B",22.1045,22.8152,20.9866,30.4488,18.0493,30.4592,21.1134,35.1438,26.4436,22.0893,27.3867,19.8701,19.3227,22.9381,20.3392,25.371
"DNAJC10",18.9383,18.8849,25.203,23.4885,18.4221,20.1364,17.5088,33.9106,20.2021,18.4625,28.718,17.6747,22.2462,15.0169,17.1441,16.1244
"GTF3C1",45.1105,48.0225,42.5959,40.4316,33.7799,38.0695,35.6859,37.6093,43.0117,44.4306,40.411,41.3067,34.8503,39.1195,49.0229,55.0274
"IL4R",13.5923,23.5944,22.9792,31.1771,7.9209,20.048,16.1704,41.5562,23.4407,17.4933,35.5262,19.8039,11.3296,10.1251,20.9616,19.6409
"USP33",65.7264,59.8742,65.7715,61.0242,58.3111,56.3233,61.1698,89.5676,59.4018,61.5533,75.8493,60.6078,65.2063,53.0817,54.4368,55.0071
"PAK3",1.3142,1.3555,1.4767,2.3578,0.8622,1.304,1.2686,4.1597,2.0722,1.2796,1.9941,1.2224,1.1979,1.0682,1.1833,1.2126
"CAPN6",13.4272,3.4099,15.981,8.256,1.3387,12.7218,3.4147,53.2722,6.2249,5.3934,8.7876,2.5011,3.5215,1.4103,2.9457,1.9406
"DCX",0.1223,0.2552,0.0253,0.2503,0.0294,0.204,0.0876,0.5186,0.1333,0.0206,0.051,0.0708,0.171,0.0879,0.122,0.068
"SNRPA",25.6358,18.8831,26.4789,25.2757,20.0943,24.9659,18.7311,31.6521,22.5893,21.4697,25.9388,19.7953,20.1445,19.6033,19.3872,20.907
"SPAG6",0.4561,0.4619,0.6448,1.0839,0.8907,2.5626,0.2689,0.786,0.6433,1.955,0.9136,1.6161,0.7827,0.4884,1.0324,0.2238
"EXOSC5",15.433,14.3957,16.6304,12.4644,15.855,14.7981,12.3539,16.2917,16.3205,14.5406,14.9226,16.7894,15.7446,13.4727,12.8056,10.5282
"DYNC1I2",61.9839,56.0013,69.2432,62.7182,62.019,54.9377,59.7288,91.4351,59.2469,64.0017,78.281,56.7008,60.408,52.7474,62.2179,51.7498
"APBB1IP",3.6264,3.6422,3.7224,22.7851,5.6244,6.1046,5.5987,37.5918,9.0536,3.2864,5.8812,5.8512,5.8217,6.6624,8.7004,3.1382
"LRCH4",3.3756,2.8814,4.4317,3.5417,2.0141,3.0704,2.0294,4.1791,3.6625,2.8097,3.4537,2.821,1.9394,2.9256,3.4235,3.511
"FAM76B",9.1396,10.1738,11.231,11.4047,8.1136,9.5522,12.3322,22.9302,9.6589,9.755,13.0559,9.4808,8.3876,8.0447,7.9031,8.8043
"SIRT6",9.95,8.7919,12.3824,10.6975,7.5624,10.4955,7.4477,9.7405,10.2242,7.5805,11.1011,8.9977,7.5868,8.2629,9.8014,8.7425
"TYR",1.6846,2.1968,0.6314,2.1602,2.1129,1.4228,1.6079,1.113,1.1364,1.9483,0.8033,1.6724,3.188,2.2284,1.4403,2.9445
"POLD3",28.1699,50.4298,21.07,30.5626,41.5977,23.0774,29.355,19.6452,37.9902,39.0297,19.369,64.643,51.2724,38.4665,42.1263,46.638
"ACTN2",0.7722,0.3357,1.0521,0.4213,0.6563,0.8584,0.7124,0.5952,0.7105,0.7814,0.6014,0.4107,0.8384,0.9698,0.3521,0.5726
"CAPZB",16.1716,17.1031,13.6796,19.4265,11.5245,16.6711,14.649,20.3593,17.9429,16.2108,17.4607,13.7575,12.9167,14.0876,17.2083,19.8525
"GPR137B",107.2475,115.5576,52.4823,97.2988,131.4603,72.4956,110.3677,69.6052,102.6718,108.6677,39.5937,108.643,128.3398,134.9066,137.2602,122.1516
"NAALAD2",3.3661,3.3604,2.4285,4.5967,1.6229,3.4049,3.8741,8.8244,4.0634,2.9072,3.2403,2.6328,3.682,2.8492,1.8857,2.7234
"JADE1",47.8991,65.5638,45.8391,70.7529,36.9283,40.1608,45.2604,76.6621,56.2904,71.2144,68.4269,62.8211,45.5108,42.5818,65.5733,67.6212
"SLC25A43",16.6681,18.4883,16.8162,20.7167,14.5924,14.8609,15.4197,25.443,17.1655,17.5348,19.7374,15.9257,15.9481,14.9842,16.0684,18.3976
"UBE2A",21.9108,23.0832,25.007,23.5557,19.1698,20.4745,19.3309,32.4711,19.8282,22.5975,28.2637,22.3633,20.493,18.4633,21.9108,19.4953
"FGFR1",11.1793,15.7441,14.7716,18.9634,8.1749,13.9734,9.6297,16.6109,11.238,16.4881,28.5296,12.3562,9.6645,10.6885,12.5282,14.1967
"FKBP6",0.0219,0.0514,0.0545,0.0174,0,0.0797,0.0157,0.0676,0.0716,0.0222,0.0439,0.0338,0.016,0.021,0,0
"SMC1B",0.4157,0.4784,0.4458,0.4842,0.2823,0.6005,0.6477,1.0556,0.453,0.5692,0.5877,0.5476,0.214,0.5153,0.6482,0.5916
"FBLN1",20.7289,15.8733,31.5957,32.5198,6.6448,36.1377,14.4914,42.3901,29.9626,11.8032,31.9108,12.2693,10.2959,14.7558,8.0075,14.5894
"ITGA8",19.7916,31.5948,25.3818,26.5689,21.6334,28.2498,17.0156,47.3349,30.2528,23.7235,21.6986,21.1081,32.3253,19.2854,18.4408,16.7242
"CST7",5.0192,5.3886,5.4162,10.8167,4.1274,8.3874,7.6037,21.9543,6.7414,4.1342,10.4037,3.425,3.2345,1.5654,8.4832,2.5318
"MAP2",4.6705,4.537,7.5354,5.7512,3.523,6.4443,4.6681,8.6201,6.165,3.8524,6.2923,4.1168,4.1319,3.2331,3.7221,3.4625
"PIAS2",19.9522,15.092,16.5373,17.1794,14.184,16.8532,17.153,20.3864,19.7192,17.9462,18.2469,15.892,17.2181,18.2206,14.1589,15.7345
"AMPH",5.7221,1.1712,5.4007,1.9209,2.3928,6.6695,1.7497,2.9065,2.4983,2.7611,3.5104,1.4631,2.8186,2.8133,1.2312,1.7703
"ARAF",54.9282,44.1301,46.7323,47.4435,44.818,49.1048,42.964,41.2753,48.635,51.4768,44.8729,42.7776,41.4064,47.5158,48.5247,52.6955
"MCCC1",87.1626,66.087,83.9567,55.2024,83.3024,60.212,60.7894,46.0448,68.4304,75.1444,43.7053,72.7815,81.4697,75.3834,66.193,80.3018
"LAMP3",0.2473,0.817,1.5482,3.6562,0.2974,0.8747,0.5114,5.9094,0.8384,0.2224,1.3759,0.3819,0.3006,0.2106,0.5639,0.3668
"FAP",0.2985,0.327,2.4364,2.5298,0.2262,0.5295,0.4274,1.4267,0.797,0.151,5.9042,0.2075,0.3592,0.2574,0.6509,0.2366
"NEBL",42.3481,19.9033,51.7779,18.038,24.4072,24.523,29.1153,28.9843,27.7126,32.7735,25.3629,23.718,28.0579,30.3687,14.6193,25.2638
"ACER3",14.1428,19.0092,15.5365,15.6805,16.7668,15.2507,13.3078,25.65,17.3045,16.6434,16.3472,15.9721,18.9825,13.3707,14.7259,14.5323
"UBE2K",45.576,41.0027,39.9602,44.0811,35.0042,35.7386,48.0762,62.0461,43.0574,45.4103,43.7726,37.7042,44.8013,40.004,40.7884,40.7012
"PIK3C3",23.9745,21.4145,21.666,23.8107,22.0353,21.501,24.0919,34.1922,22.0613,24.5181,24.5107,21.4718,24.7868,21.4618,20.4227,21.0528
"N4BP2",14.4167,11.0234,14.4929,15.4571,11.3291,11.8596,13.8716,20.9841,15.5368,12.7119,17.4315,11.7625,11.9044,10.8348,13.1515,12.2834
"TIGAR",2.1695,2.3782,2.3725,3.0528,1.3828,1.5025,1.7343,2.8268,1.8721,2.0505,2.7792,1.9898,2.0317,1.5296,2.8907,4.4373
"TULP3",30.6214,25.5471,32.7462,28.2957,22.9944,31.9291,33.8174,38.332,28.6628,27.5448,43.0178,34.4066,27.8168,30.3358,28.9794,29.5303
"SYNJ2",7.6607,6.5728,12.0688,9.9043,4.2571,9.1823,6.8282,14.7631,6.6368,6.6593,14.9278,6.1977,4.7078,4.871,5.8894,5.4551
"ADCY2",0.1772,0.1802,0.2496,0.7345,0.1151,0.3546,0.2875,0.774,0.4763,0.532,0.3963,0.26,0.2455,0.1811,0.4242,0.4927
"PPP2R5C",26.6682,27.1656,27.8387,30.0694,24.2027,26.1103,25.9785,40.5644,28.0772,28.1143,29.4843,26.2352,25.8586,25.1207,27.009,25.1318
"RBFOX1",1.0174,0.5583,0.4708,0.8477,0.348,1.1598,0.3831,1.2222,0.7991,0.8758,0.7609,0.403,0.8142,0.4873,0.4011,0.8818
"GNB1",101.2626,98.5098,105.7152,103.6057,83.2608,108.1739,89.5439,124.5954,98.9205,98.7349,108.1949,86.1893,92.9181,90.2792,100.4815,97.9708
"HOXA9",17.0078,12.9323,14.2916,14.8561,18.1873,14.8461,16.5689,15.3572,15.7686,14.2271,13.8734,18.0844,15.078,16.0622,14.161,14.6177
"EDN1",15.1786,22.7936,34.1738,33.921,13.9775,18.408,12.4388,30.7283,21.2741,22.8076,43.9134,14.0489,20.1247,9.1058,23.247,12.5347
"MLLT10",36.3493,27.7288,26.9759,31.3976,26.6581,26.4105,28.9726,38.5392,31.877,26.5133,30.7669,26.9069,29.1316,30.1277,25.0799,31.7685
"ZCWPW1",8.3377,5.9598,9.35,6.4052,6.4012,8.2109,7.1802,9.1332,6.1824,7.581,7.6279,8.1082,6.4914,7.8667,5.7621,5.9097
"ADCYAP1R1",0.0596,0.0699,0.074,0.1769,0.043,0.0948,0.0213,0.8493,0.3407,0.2109,0.1044,0.0345,0.1629,0.0856,0.0255,0.0994
"FGF20",0.1696,0.1769,0.1405,0.0895,0.1224,0.1028,0.3642,0.2179,0.0616,0,0.1698,0.0873,0.0824,0.0541,0.0483,0
"P2RY10",0.9888,1.3881,0.5784,7.233,0.7765,2.3014,1.1242,14.8188,2.1868,0.3532,3.7572,0.5839,0.615,0.3343,1.2682,0.2426
"ITM2A",26.368,18.6481,20.8401,29.7606,25.3949,30.2562,21.0536,70.9055,21.716,17.6009,21.887,18.0897,26.6605,14.8151,15.8685,12.733
"NRDC",54.1429,52.9017,53.3619,55.8239,42.5504,51.7748,49.7285,65.8115,53.7628,57.448,59.3427,46.7403,48.1041,47.3489,48.7488,51.5731
"VDAC3",86.5754,75.135,89.887,67.4579,87.5786,79.8765,76.837,79.136,79.3431,81.8214,73.7685,77.1011,90.8842,76.0422,71.8998,73.5338
"PCM1",83.228,68.3382,95.01,80.1156,71.8622,80.9184,76.8248,114.6956,83.3548,81.5413,89.2684,69.3646,77.5301,68.163,69.3375,67.1232
"TNRC6C",15.8562,13.4908,9.4079,14.7755,9.551,12.03,12.3826,16.0396,14.433,11.6225,11.3893,9.2009,8.6618,13.7454,11.6688,15.6486
"CBFA2T2",19.9161,14.878,15.0263,17.4207,11.4834,18.3052,15.3513,18.6584,17.9879,17.9843,18.7888,14.9881,12.5264,17.8456,16.4647,18.9451
"BRINP1",5.6377,1.4074,5.1607,5.5284,3.6227,5.7383,6.6686,3.8284,6.9626,8.0144,16.7764,6.3848,15.5243,1.4658,2.2954,1.9709
"ITCH",49.7378,49.8176,52.5769,49.6766,46.0292,40.901,47.8651,63.5839,49.9709,51.708,49.1643,50.3403,49.9494,46.1466,44.7588,46.5412
"PKD2L2",1.1399,0.9794,1.1668,1.2923,0.9355,1.4231,1.152,2.4983,1.5832,1.1988,0.9849,0.9665,0.815,1.0277,0.86,1.3425
"TP53INP2",36.7826,34.428,17.8373,31.9915,21.6944,18.1769,26.8119,17.7451,29.0991,41.5797,23.652,29.9015,20.0897,42.0291,52.4736,50.741
"SDF4",71.0736,63.3143,66.5935,64.8363,68.6117,59.3225,49.3089,58.0991,60.6078,72.7006,59.1242,63.3284,61.5482,58.3598,66.5245,70.9058
"MYH7B",4.3381,3.7102,2.4347,3.7256,2.0749,4.2555,3.295,2.9941,3.8478,3.3436,3.1699,3.6225,2.2622,4.3005,3.073,4.2818
"BPIFB2",0,0,0.0964,0,0,0,0,0,0,0,0,0,0,0,0,0
"TP73",0.4457,0.3127,0.4839,0.5478,0.2329,0.4194,0.3741,0.5094,0.4354,0.28,0.3386,0.3086,0.2354,0.3828,0.4074,0.5257
"TOLLIP",52.7917,44.6261,32.8542,36.7054,42.1477,38.8949,35.2277,28.2194,43.2264,44.8919,32.8842,46.4556,36.9504,48.5888,46.2085,48.6379
"UBE2D4",12.7493,12.1332,10.6006,14.1861,10.6328,11.1751,11.2109,10.0998,12.4028,13.9287,9.2777,12.2122,12.8196,14.8329,12.8247,14.8499
"CLUL1",2.7312,1.3965,4.4365,1.3922,2.5758,3.6648,1.839,1.5634,3.0646,1.724,2.2748,2.4848,2.248,4.2482,2.5202,1.8047
"RUNX1T1",3.9649,1.936,2.5467,4.461,2.0572,5.3676,4.1254,8.3457,3.9354,1.734,3.8476,1.7444,2.796,2.7602,1.4848,2.0384
"CDH17",0.6436,0.7974,0.6222,1.2957,1.5676,1.0977,1.1519,3.411,1.4904,0.5156,0.3223,0.9319,0.9387,0.5909,0.9631,1.0515
"THOC1",17.9326,16.9243,19.7304,21.6864,15.7104,17.8405,18.6079,31.387,19.3596,18.5889,22.6253,17.019,18.6184,16.0591,15.7061,15.5919
"FKBP7",7.4625,5.8655,7.7222,9.0397,4.0449,7.9855,6.6956,14.1077,6.3657,4.5447,7.8453,5.3191,5.688,5.1107,4.8504,4.7325
"OSBPL6",4.6804,6.1132,2.3404,3.6928,7.7807,2.915,5.8002,1.8912,5.6232,6.1015,2.4026,6.0538,5.9283,5.4287,7.0981,6.699
"SLC1A3",2.7723,7.4947,4.4429,12.3593,1.7849,6.1907,3.5294,12.4381,11.3965,3.1414,8.4952,3.9609,3.6195,1.3358,7.1111,5.1794
"XRCC5",170.3852,164.0948,223.4129,192.6275,181.5197,179.7393,153.5876,286.8075,185.6919,180.7275,248.2868,171.39,214.0683,143.1738,160.5292,146.2554
"LXN",25.3054,19.1311,62.3725,36.3596,23.9709,25.5457,26.1263,53.4096,22.7596,26.6181,68.3172,23.0629,25.8865,19.529,19.9302,17.7806
"SP140",1.0247,1.8369,4.5079,7.5113,0.9412,1.898,1.2937,12.3371,3.9388,0.5656,4.3102,0.9927,0.8152,0.5711,1.8479,0.6528
"MKNK1",13.1436,12.1496,14.0405,14.0436,8.2852,11.662,11.0047,16.2901,13.3398,11.084,13.0079,9.6118,8.6543,10.5168,11.3152,12.8461
"TNS1",247.4231,189.1501,89.5949,234.5836,144.3527,135.4953,195.2952,93.0951,190.4877,161.9838,160.1805,168.6845,129.0647,245.5541,191.7379,316.0817
"REXO1",12.2289,10.7209,7.646,12.2844,7.7754,10.3431,7.5798,7.6016,10.1367,10.7906,8.2516,9.5004,6.593,13.5715,11.4602,13.9964
"SAR1A",60.8306,61.5566,68.053,60.4995,65.5633,53.3869,60.0745,79.7983,66.206,66.5057,68.9938,62.4316,76.2241,56.8588,57.6323,58.4773
"CDC14A",17.5413,15.2629,9.2132,18.7017,16.1053,9.4452,15.8963,26.9817,11.9425,15.0998,11.7753,13.4709,17.0669,17.6449,11.9249,13.834
"RAPGEF3",48.951,51.9883,53.8437,37.7915,37.0727,36.7729,36.0441,36.9722,38.4951,20.8215,34.9472,38.0906,28.166,37.987,36.8889,34.7952
"CEACAM1",26.7766,24.3822,18.0708,31.8496,19.5264,18.69,34.9552,17.0724,22.6992,18.6423,19.7302,24.1925,21.3922,32.86,23.49,25.1951
"SENP1",11.2099,10.4217,12.7135,13.1361,9.5378,10.7532,9.9486,16.679,11.9931,10.6382,13.1001,9.0631,10.1716,9.2065,10.312,9.3517
"DUSP13",0,0.0692,0.1466,0.0701,0.0638,0.2012,0,0.0341,0.0482,0.0448,0.0443,0,0.129,0.0424,0,0.0369
"CIC",21.6679,14.2371,13.3067,18.689,9.4386,16.7891,12.6174,12.8521,16.4137,15.9743,16.2911,13.1364,8.6433,17.4192,19.9223,18.1219
"LIPE",2.9018,2.0025,3.7736,4.8521,1.4106,2.8044,2.4235,3.7747,2.174,1.2847,2.3006,1.6338,1.6458,2.4129,1.499,1.8492
"FDFT1",46.7277,39.2871,69.5109,42.8115,45.4751,37.5694,46.2858,47.0495,46.1004,46.4971,47.1967,46.9915,54.7532,40.6975,46.2502,46.6115
"PAFAH1B3",12.0932,10.0359,17.0043,9.1139,7.4046,10.333,7.2928,24.4067,8.3861,11.6446,19.4508,10.0738,10.0479,8.2846,9.4,7.8875
"OPHN1",22.3586,19.8689,33.6222,18.0959,16.6727,21.0384,20.3865,18.8605,22.417,21.6764,20.7689,15.3387,18.9764,17.5382,19.5679,20.4115
"AFM",318.6778,235.5162,102.842,211.1062,528.4834,140.8115,366.7215,21.1262,190.0467,280.8655,18.0431,366.131,352.0554,468.9058,210.2068,240.4053
"KIF22",16.7184,13.2514,18.2706,13.5665,14.9196,16.611,11.9334,17.5365,16.2729,14.7457,14.2785,12.537,12.3322,11.393,16.0893,14.1887
"SCGN",5.5439,7.962,2.6748,6.5032,4.3552,3.8937,4.1696,7.6815,3.9766,10.0133,4.5681,8.2908,5.4245,3.294,6.3603,7.6693
"CARMIL1",43.9803,37.3933,64.5342,36.9137,34.1686,49.4311,34.8186,59.662,41.9558,47.102,53.0114,37.2768,40.0615,32.375,37.4356,35.0442
"PGM1",70.6354,58.3432,69.1814,46.046,68.0922,59.097,52.7558,41.4513,62.7121,71.8162,40.4658,67.4842,72.343,65.8549,62.5981,63.1617
"DDX1",42.6895,39.6558,40.6238,36.9116,39.5896,37.5304,39.4124,41.6326,41.3256,42.7741,37.3409,38.4524,40.7926,41.7295,34.709,38.064
"DNM2",56.6853,42.6711,52.3284,45.7366,38.7507,47.9845,37.6098,36.5333,49.597,45.2755,60.2235,44.4937,38.6168,49.1642,45.1335,50.2321
"EPB41L2",28.3284,27.3386,26.0197,43.5096,20.8061,37.9488,34.4402,76.4638,39.2818,22.0283,37.7354,25.7964,28.7193,20.6105,21.7571,24.549
"RIMS1",0.0651,0.1845,0.2493,0.9147,0.0293,0.3995,0.1572,2.1816,0.647,0.1646,0.2443,0.0126,0.1068,0.1091,0.146,0.0746
"MOXD1",28.5143,9.3639,48.6728,41.8414,10.5901,69.6572,16.6062,111.7121,34.3273,10.3977,55.3172,9.1024,12.4295,6.7905,11.4411,6.9935
"STX7",44.6737,38.8884,28.5394,37.932,33.4056,27.426,41.2615,58.4233,37.5952,40.0381,33.4763,37.4559,44.2443,37.0669,36.6289,35.5795
"RABL2B",8.0805,5.9899,6.6515,7.13,4.0153,8.1235,6.7866,5.7781,5.3103,6.6709,7.3647,5.1449,4.8975,6.9257,6,6.8446
"KEAP1",54.2275,44.344,50.8178,41.5672,46.0217,43.4463,40.7984,47.792,44.5652,44.6258,44.1625,48.3912,40.0745,45.923,48.5064,45.6758
"DDX43",1.7944,1.8821,2.9738,3.9312,1.7909,1.7711,1.5032,2.0013,3.578,1.1591,3.9383,1.1793,1.1415,1.3166,2.4157,0.2548
"PTPRH",0.1436,0.1873,1.309,0.3981,0.0173,0.1306,0.1885,0.8487,0.1565,0.0242,0.6952,0,0.1222,0.0688,0.0614,0.0599
"DCT",0.9517,0.4101,0.9715,1.2127,0.7067,1.0915,0.6616,0.7655,0.8718,0.8654,0.7459,0.8308,0.7846,0.5682,0.4835,0.5293
"SLC35C2",18.8898,16.3641,18.0893,20.0377,14.7803,17.7707,15.6665,21.1448,17.6585,18.201,20.3767,16.5345,14.1487,16.363,17.4318,18.0436
"CRYBG3",29.915,25.8014,45.8625,30.9792,24.9166,32.0263,26.5819,45.8642,26.8904,28.7967,42.7467,22.8143,25.5794,23.4204,25.4162,25.8414
"EPHA6",0.8266,4.2946,3.5478,0.9166,1.2765,0.7669,0.4497,1.6821,1.243,0.6023,0.5298,1.8638,1.6877,1.6945,0.1838,0.8964
"SCTR",27.7744,35.4342,24.2251,27.0157,15.9111,15.7338,28.8643,16.1982,23.9607,29.0929,61.3941,27.4903,22.5855,29.027,20.0503,43.47
"RFX3",10.4663,8.7432,8.9887,11.2914,6.995,9.0286,11.2651,16.7674,10.2992,9.3006,11.6472,6.8954,7.7816,8.1438,8.933,8.6382
"RIF1",29.9078,26.8868,31.7454,31.5284,22.5738,26.3909,27.6513,50.9763,27.3255,26.8706,32.5487,25.8526,25.8297,25.0572,24.2013,23.484
"RAB21",26.4022,24.8523,21.8929,22.5183,22.3309,17.4658,27.6821,29.9686,23.3896,30.8498,20.7424,26.6424,22.339,26.7253,22.8794,22.7394
"SLC4A4",519.4059,629.6967,262.7917,330.9527,813.6168,186.0209,520.148,122.1152,429.9757,558.6567,100.2845,600.3707,634.9759,639.4614,625.5202,580.1683
"SMARCA2",50.9242,45.7497,63.7129,48.0687,47.2098,45.261,44.4977,61.5142,48.7824,54.522,44.4676,45.3125,43.7136,44.3506,44.3497,51.5627
"RDH8",47.0372,0.0407,42.0327,0.3705,0.3376,39.6163,6.2879,0,6.9664,2.735,0.0521,1.6455,5.2304,0.3485,0.0889,4.6828
"SESN1",22.4413,33.1166,26.6554,32.0905,23.8004,20.8368,22.0543,35.7091,42.5797,37.651,29.6332,26.8475,25.6947,17.8785,30.5096,33.9696
"MID2",10.6149,11.8392,17.8078,11.9188,9.5974,9.8053,10.5653,15.4417,11.5522,10.6723,12.0092,9.9613,10.3811,9.3506,10.1591,10.6242
"DNAAF6",0.0532,0,0.0881,0.0842,0.1918,0.0484,0.0381,0,0,0,0,0.0411,0,0.0509,0.0455,0
"COL5A3",3.1125,1.4997,5.9204,3.4611,1.1175,3.2355,2.261,3.6876,4.411,1.1327,2.5643,1.3852,1.2187,1.5716,1.3765,0.793
"SRCAP",1.6084,1.5686,0.9916,1.5939,0.7536,1.1925,1.1295,1.4161,1.138,1.2882,1.2519,1.4008,0.7115,1.8473,1.6685,1.9141
"PUM3",73.4438,62.5588,75.0227,97.1965,84.2677,65.2215,73.6975,120.55,68.0961,79.1903,104.963,85.9567,88.2198,80.9625,62.0361,65.2487
"CPB2",0.6831,0.5345,0.5017,0.7993,0.3137,0.6213,0.489,0.8257,0.5245,0.3299,0.653,0.4076,0.4755,0.461,0.3053,0.5051
"CHRNA3",0.0655,0.0342,0.4525,0.1038,0.0158,0.1391,0.1251,0.0842,0.0714,0.0221,0.0656,0.1855,0.1274,0.0628,0.2615,0.0911
"KCNN2",2.2135,1.319,0.8888,1.497,1.3885,1.0377,2.0477,0.5644,3.3398,0.9649,0.3922,4.9568,2.9179,1.8757,1.7179,7.0455
"CNOT4",18.8418,17.5683,17.3115,21.4555,16.7386,16.9082,20.5617,30.9612,21.5362,19.0372,21.7265,16.3621,17.955,17.6647,19.096,19.016
"PSEN1",35.9776,36.4712,37.6255,36.4044,33.8244,34.1222,33.3216,52.2668,35.6619,38.9793,40.7106,35.6688,37.2987,32.9614,35.8844,35.8929
"CPOX",9.6194,9.2796,9.1171,9.4454,7.7499,6.9817,10.3999,18.4361,8.9388,8.6677,10.2603,8.7506,7.9035,7.2581,7.8587,7.9699
"CLDND1",21.2594,24.5068,25.1414,26.388,17.5742,19.4278,20.0771,40.9925,20.7304,23.0693,24.689,22.335,19.8116,18.816,23.4344,19.484
"MOK",12.4582,7.6814,7.6794,8.4203,7.4463,9.7645,8.4574,8.7861,10.2645,8.7178,10.1726,7.6462,7.7594,10.4014,8.1834,9.0585
"HSP90AA1",364.3628,464.6334,300.1521,684.702,463.6138,387.5188,370.2624,325.5532,408.6801,354.8264,383.2038,379.3527,530.3008,520.7219,672.3488,604.4927
"RBL1",6.6005,4.905,8.3774,7.1503,4.5615,6.5595,5.775,9.9202,7.4781,4.1526,7.537,4.5979,4.8132,5.1519,4.7179,5.2151
"DLGAP4",10.9507,9.5318,7.3865,11.8052,5.3736,8.7544,9.0255,11.69,9.353,9.5003,10.8718,8.1359,5.8704,11.8054,11.2762,12.7403
"IGSF9B",1.5721,1.2711,1.4474,1.4757,0.5924,1.5888,1.067,1.7145,1.6941,1.3316,1.6152,0.7059,0.7515,1.3163,1.5682,1.8944
"CFHR2",0,0,0,0,0.0273,0,0,0,0,0,0,0,0.0552,0,0,0
"NDC80",1.1705,0.8243,0.8244,2.4105,0.6758,2.0229,1.4035,2.3911,1.6901,0.5034,1.9342,1.175,1.003,0.6728,0.6756,1.1718
"AP4E1",12.035,11.962,13.8743,13.195,10.0217,9.4288,11.4702,16.1669,12.1592,11.1057,14.4178,10.6145,10.6118,10.7293,10.9311,10.5474
"RSBN1",22.4506,19.5954,20.5866,21.0434,17.0044,18.2424,21.1918,32.8249,19.7612,20.2034,20.9407,17.43,18.2844,16.933,17.2397,17.6985
"MAGI3",35.6478,28.2508,37.4957,26.8542,28.3647,30.2319,28.5181,35.3206,32.7712,33.4977,30.1914,28.6812,28.4018,31.1048,31.5896,33.1829
"CXCL2",3.1989,6.112,19.1707,17.0875,41.9273,13.8715,7.9349,28.2141,5.1072,6.2485,23.0955,21.8863,14.81,14.7514,8.5871,5.027
"AFP",4.8086,1.4745,0.9692,1.4154,5.1581,1.7731,5.4657,0.2004,3.2573,3.2879,0.6508,4.3403,2.8431,3.8904,1.3057,2.8731
"COL4A4",74.7958,70.4939,111.9545,90.7243,49.2963,72.6197,58.4804,97.4534,81.3593,75.4498,84.8827,58.875,53.6591,62.1741,58.232,86.8659
"TCF7",6.1002,5.6278,3.7056,9.3694,2.9595,4.9581,5.1782,10.9297,6.4902,5.1304,6.5322,5.2753,2.9831,6.3765,6.6872,6.8168
"OSTM1",21.1128,27.8592,24.3395,25.5861,26.0457,20.5893,22.3,35.3498,23.2836,26.3659,25.4076,25.2158,31.8457,18.8961,25.4165,22.2567
"CDH7",0.0573,0.0336,0.0119,0.0454,0.0568,0.026,0.082,0.1987,0.0546,0.029,0.0072,0.0221,0.0157,0.0274,0.0061,0.0179
"IMPG2",1.5316,0.7502,2.5589,1.2624,0.7638,1.3252,1.3014,2.6781,0.9499,0.7309,2.1574,0.8846,0.8445,1.2525,1.0541,0.7999
"PCNP",70.3932,70.313,78.6193,67.982,55.7271,63.1267,84.2542,117.7133,67.106,73.0675,66.3572,67.1734,65.5289,56.1763,54.8439,56.5593
"EXD2",23.5635,18.7623,23.2535,20.6888,18.2863,19.4239,18.3896,25.7929,21.7689,19.3923,25.0614,19.1697,20.9611,19.9155,19.3949,19.2559
"ARG2",55.2793,53.5863,219.5138,29.177,63.8126,50.4462,36.8011,22.0431,36.5203,62.9449,28.6832,66.0672,38.717,50.6851,61.9433,92.6122
