"","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-WVLH-0011-R10A-SM-HAKXZ","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-Q2AG-0011-R10A-SM-HAKXT","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-RU72-0011-R10A-SM-HAKXS"
"ACAD9",0.340912775911571,0.864951850510706,-1.68910752550939,-1.30927801140865,-0.929588405098326,-0.912489507394635,1.31249571383626,0.652677176273586,0.0286157902128945,-0.0286157902128938
"ACADL",-2.14420605983497,-0.0931285897821094,0.128704551217476,-2.14622640571479,-1.58471719116831,0.121074017865358,0.267912075644014,0.119320520708177,-0.0233869715994614,0.0233869715994614
"ACADM",0.258720372331707,0.567878214003932,-0.159913983663727,-0.241613691938428,-0.4796356553154,-2.81893634192456,0.755146438049609,0.316887310627149,0.0449484672446278,-0.0449484672446278
"ACADS",-2.6917471391287,-0.00366336784969347,-0.0888384285243522,-0.449934642374788,-0.457232194948525,0.149255073636177,0.258950480917849,0.00366336784969326,1.26568262814417,0.100134590424044
"ACADSB",1.13301599992866,-0.00283278552727439,-1.03601114752291,-1.62442867515381,-0.687401557905233,0.00283278552727439,1.31443023827192,0.810283146464448,1.0821433408441,-0.198315107725863
"ACADVL",0.368268317781383,-0.0650812233291501,-0.192070042765177,-0.57064954247318,-0.196642862435736,-1.61759347992467,0.0650812233291501,1.04289038559375,1.7760934927506,1.41661864562414
"ACAN",0.782792263473471,-0.919641254373959,0.117378066736012,1.28159545781848,-0.702951343936418,0.0843544088313949,-0.617894417855088,0.845965063657378,-0.0843544088313957,-2.11057578070456
"ACAP1",-2.14791849297015,-1.72745457216547,0.0596765005644839,0.236323195840971,0.207864565291708,-0.0246488267475906,0.0246488267475906,0.0720656561499916,-2.09557028564722,-0.210823432731372
"ACAP2",0.18194864871476,-0.18194864871476,-0.676547717153654,0.184276596853305,1.32468809951216,-1.03563028841931,-0.666176302642717,1.36742297657924,-1.77998963755174,0.449532441604009
"ACAP3",0.644585954439515,-0.855505555372594,-0.218140032777393,-1.14861828160499,1.57283065971184,-0.0667652633815588,-0.57434361830695,0.0667652633815588,0.360043695316693,1.96138633350873
"ACAT1",-0.122928015103323,0.310444205131282,-0.401730494346281,0.122928015103323,-1.02972462345718,-0.609773653060971,2.56348506394191,0.612418643965782,0.643846552535313,-0.437611744266186
"ACAT2",0.973720923334205,0.509064889593214,-0.967400442010641,0.342543500601569,-0.942474531006713,-1.13699812693074,-0.364070337731403,1.70728942069995,-0.342543500601569,1.22232080883273
"ACBD3",-0.340092111020607,-0.597331889320781,0.162432760993958,0.182233890359676,0.809585298133705,0.928863125424224,-0.162432760993959,-0.95003863082314,-2.41547948323961,0.687960350246688
"ACBD5",0.879837593732264,-1.30858999786006,0.0942657637125163,0.139868074352015,-1.2267043299846,0.92788448104785,-1.89400303726921,-0.0942657637125165,-1.24894709009243,0.338014574027428
"ACBD6",-0.00447937639095916,0.00447937639095916,-0.521825009362908,0.0796633064543493,-1.45320931015473,0.444773231860335,-0.0487066400915312,1.69011447947724,-0.885056720392364,1.69393781213076
"ACBD7",0.722510477171409,-0.930646724975629,-0.0520302994156215,0.0520302994156208,-1.65342750850014,0.234652832919317,1.84177697193091,0.70232701789422,-0.189823347793432,-0.949242161956803
"ACD",-0.0509984838183952,0.0141180819808972,0.0612216350759607,-0.0351041339816152,-1.89583653830582,-0.00394523778748095,0.0270662411819628,-2.72310515213561,0.0993937136310312,0.00394523778748095
"ACE",-0.0574755472794005,0.583836444966351,0.200395964836341,-1.1434010129538,-2.25577433420382,-0.548097608520812,0.0965276813161065,0.313175120727704,-2.02218765368738,0.0574755472794002
"ACHE",-0.0178518051424378,-0.0127340183169545,0.066796847014032,-0.0050796669415702,-3.16243203327861,-0.253592093702095,0.0050796669415702,0.0379978007277075,0.0468683158826638,0.0174124740832652
"ACIN1",-0.0149936637841761,0.0149936637841756,1.22810642518956,-0.656950468057349,0.953690819173287,0.301018481150961,-1.71481784957946,-1.85204953639693,-0.314784994063977,0.028462132528819
"ACLY",0.704764050467989,0.912777948255474,-1.60664506902564,-0.561632827551397,-0.764340910259029,-1.68578017469606,0.269991395629773,0.974227531075908,-0.269991395629773,0.662250307780592
"ACO1",-0.195352893374079,0.780300207488794,-0.836608261626756,0.754444635280334,0.690256779764225,2.18322390068076,-1.26470822506594,-0.668463663278284,-0.0378731202590789,0.0378731202590789
"ACO2",0.241964828805208,0.290508995230608,-0.725635454356579,-0.241964828805208,-1.35585415006383,-0.911767982054072,1.98521493439908,0.762687825760146,0.967027708271037,-0.423179782001115
"ACOT1",-0.170824389107672,-1.09186225244981,1.87726458486449,-0.0838792190167337,-0.751574945771799,-0.335806525670426,0.477601535930235,1.21333597642792,1.63624277145271,0.0838792190167337
"ACOT11",-0.463131952585027,0.326023945569516,-0.161699956786696,0.861514446543344,-0.251767101357436,-2.49554871492092,-1.28873716361823,0.314282104218562,0.161699956786696,0.628551495643993
"ACOT13",1.21192236247399,-0.210056869192805,-0.458899432425359,-1.80079277110515,-0.478411196857754,-0.927497764672332,1.180127884976,1.20693045726457,0.231888181789614,0.210056869192803
"ACOT7",0.689050496447691,-0.973794710307667,-1.10009048489098,-0.0535634402881411,-1.54784703014967,-1.72175734989034,0.547950978936157,1.0478433272692,0.0535634402881411,0.50472151151292
"ACOT8",0.784076289458798,-0.624301146437686,-0.303894540906115,0.0212595734906248,0.454413059013964,-1.51922736540714,-0.352072109268455,1.59311592290111,1.74387908141136,-0.0212595734906248
"ACOT9",-0.0107128499439526,0.0107128499439532,-1.0639428149283,0.520220065382585,-0.830124409534286,-1.20504673144301,1.52777392921114,1.39062796340477,0.958692876759158,-0.567677837842165
"ACOX1",-1.25178042473665,-0.49840806768865,1.26836380632279,0.762651969428763,-0.247052878766383,1.98837814185888,-1.03739754426733,-0.0643317346242946,0.165650692582182,0.0643317346242944
"ACOX2",-1.42111704447372,0.966811648722877,1.32619298389836,0.191523003569885,1.34738583760609,-0.318870671897196,-0.424222769306382,0.832007818029904,-1.240269158106,-0.191523003569885
"ACOX3",2.29175024723764,-1.10421599056366,0.0250393836308388,1.1148098261911,-0.977357184975296,-0.41674378814309,-0.313676237139456,-0.0250393836308385,0.403829617714551,0.0370379135790776
"ACP1",-1.87798825948164,-0.974016975906317,0.0998866661389512,1.05167135500374,-0.0998866661389512,-1.33335648885084,0.472052966596386,-1.12014837223541,0.624743932745892,0.626860776062416
"ACP2",-2.17349065703966,0.781619730878337,0.912830960250105,-0.755611051485882,-0.117989165723802,0.108934061022401,0.100674680149535,-0.100674680149535,0.107694461663723,-1.7409250632164
